Species ,Intermediate_Paratenic_hosts,Definitive_host,LCL_long,LCL_short,Facultative,Min_TL,Max_TL,Avg_TL
Muspicea borreli,None: infection during grooming,Domestic mice,1,1,None,2,3,2.5
Hystrichis tricolor,Oligochaete (1),Anatids and ciconiformes,2,2,None,2,4,3
Soboliphyme baturini,Oligochaete (1),"Mustelids, Martes and Mustela spp. ",2,2,None,2,4,3.5
Dioctophyma renale,Oligochaete (1) [Fish/Frog (2)],Mustelids,3,2,Middle,3,4,3.5
Eustrongylides tubifex,Oligochaete (1)  Fish (2),"Piscivorous birds: mergansers and other Anseriformes, Gaviiformes, Ciconiiformes, Podicipediformes",3,3,None,3,4,3.5
Eustrongylides ignotus,Oligochaete (1)  Fish (2),Herons and egrets,3,3,None,3,4,3.5
Eustrongylides excisus,Oligochaete (1)  Fish (2),"Piscivorous birds: Pelecaniformes, Ciconiiformes, Anseriformes",3,3,None,3,4,3.5
Cystoopsis accipenseri,Gammarids (1),Ganoid Accipenser ruthensus (sturgeon),2,2,None,3,5,3.5
Trichosomoides crassicauda,Direct ingestion by definitive host,Rats especially Rattus norvegicus. Experimental infection in Mastomys natalensis,1,1,None,2,4,2.5
Trichurus muris,Direct ingestion by definitive host,"Mice, rats and other rodents of the genera Arvicola, Arvicanthis, Citellus, Cricetulus, Echinomys, Epimys, Georychus, Holochilus, Loncheres, Meriones, Mesocricetus, Microtus, Mus, Opodemus, Rattus and Trychomys",1,1,None,2,3,2.5
Trichuris ovis,Direct ingestion by definitive host,"Sheep, cattle, camels, cervids, giraffes, antelope,  and porcupines",1,1,None,2,3,2
Trichuris skrjabini,Direct ingestion by definitive host,"Camels, sheep, goats, cattle, deer, gazelles and ibex",1,1,None,2,3,2
Trichuris vulpis,Direct ingestion by definitive host,"Dogs, foxes and polecats (Mustela putorius)",1,1,None,2,4,3.5
Trichuris suis,Direct ingestion by definitive host,Pigs,1,1,None,2,4,2.5
Trichuris trichiura,Direct ingestion by definitive host,Humans and other primates,1,1,None,2,5,2.21
Bauscapillaria obsignata,Direct ingestion by definitive host,"Chickens, partridges (Perdix perdix), pigeons and turkeys",1,1,None,2,3,2.5
Pseudocapillaria tomentosa,[Oligochaete (1)],"FW Fish Cobitidae, Perciformes, Gadiformes, Anguilliformes, Esociformes, and Siluriformes",2,1,First,2,4,3
Pearsonema mucronata,Oligochaete (1),Mustelidae,2,2,None,3,4,3.5
Pearsonema plica,Oligochaete (1),Canids and mustelids,2,2,None,2,4,3.5
Aonchotheca caudinflata,Oligochaete (1),"Gallinaceous and anatid birds, including chickens, grouse, pheasants,turkeys, pigeons, ducks and geese",2,2,None,2,3,2.5
Aonchotheca putorii,[Oligochaete (1)],Mustelidae,2,1,First,3,4,3.5
Aonchotheca philippinensis,[Fish (1)],"Humans Philippines: considerable evidence that fish eating birds are natural hosts in the Far East, viz. Amaurornis phoenicurus, Bubulcus ibis, Gallinula chloropus, Ixobrychus sinensis and Nycticorax nycticorax ",2,1,First,3,4,3.5
Eucoleus aerophilus,Oligochaete (1),"Carnivores, Canidae, Felidae, Mustelidae",2,2,None,2,4,3.5
Eucoleus annulatus,Oligochaete (1),Chickens and wild game birds,2,2,None,2,3,2.5
Eucoleus contortus,Oligochaete (1),"Great variety of birds throughout world including Anseriformes, Charadriiformes, Falconiformes, Galliformes, and Passeriformes",2,1,First,2,4,3
Eucoleus frugilegi,Oligochaete (1),Corvidae,2,2,None,2,4,3
Placoconus lotoris,,"Racoons, skunks",1,1,None,2,4,3
Uncinaria stenocephala,,"Canids (dog, foxes, wolves), some other carnivores",1,1,None,2,4,3.5
Triodontophorus tenuicollis,,Equines,1,1,None,2,3,2
Strongylus edentatus,,Equines,1,1,None,2,3,2
Strongylus equinus,,Equines,1,1,None,2,3,2
Strongylus vulgaris,,Equines,1,1,None,2,3,2
Stephanurus dentatus,Earthworms (paratenic),Pigs,2,1,First,2,4,2.5
Syngamus trachea,"Eisenia foetida, Helodrilus caliginosus, Lumbricus terrestris (Earthworms) (paratenic)","Wild or domestic Galliformes, some Passeriformes, rarely other birds",2,1,First,2,3,2.5
Cyathostoma bronchialis,Various earthworms (paratenic),"Ducks, geese, swans",2,2,None,2,3,2.5
Cyathostoma lari,"L. terrestris, Eiseniella tetraedra, Eisenia foetida (Earthworms); Aphodius fossor (Dung beetle) (paratenic)",Gulls (Laridae),2,1,First,3,4,3.5
Chabertia ovina,,"Camels, cattle, chamois, deer, gazelles, goats, sheep",1,1,None,2,3,2
Cyclodontostomum purvisi,,"rats, Malayan giant rats Rattus mulleri, R. sabanus, R. whiteheadi ",1,1,None,2,3,2.5
Oesophagostomum asperum,,Goats,1,1,None,2,3,2
Oesophagostomum kansuensis,,Sheep,1,1,None,2,3,2
Oesophagostomum radiatum,,Ruminants,1,1,None,2,3,2
Oesophagostomum venulosum,,Ruminants,1,1,None,2,3,2
Oesophagostomum columbianum,,Ruminants,1,1,None,2,3,2
Oesophagostomum dentatum,,Pigs,1,1,None,2,4,2.5
Oesophagostomum quadrispinulatum,,Pigs,1,1,None,2,4,2.5
Ornithostrongylus quadriradiatus,,"Pigeons, doves",1,1,None,2,3,2.5
Ollulanus tricuspis,,"Domestic cat, lion, cheetah and wild cats, dog and foxes, pigs",1,1,None,2,4,3.5
Molineus barbatus,,"Racoons, skunks",1,1,None,2,4,3
Hepatojarakus malayae,,Rats,1,1,None,2,3,2.5
Oswaldocruzia filiformis,,Amphians and reptiles,1,1,None,3,4,3
Nematodirus abnormails,,"Sheep, goats, antelope, camels",1,1,None,2,3,2
Nematodirus battus,,"Sheep, goats, cattle",1,1,None,2,3,2
Nematodirus filicollis,,"Sheep, goats, deer, alpaca",1,1,None,2,3,2
Nematodirus helvetianus,,"Sheep, goats, cattle, camels",1,1,None,2,3,2
Nematodirus spathiger,,Ruminants,1,1,None,2,3,2
Hassalstrongylus musculi,,Cricetid rodents,1,1,None,2,3,2.5
Heligmosomoides kurilensis kobayashii,,"Mice, jirds",1,1,None,2,3,2.5
Heligmosomoides polygyrus polygyrus,,Mice,1,1,None,2,3,2.5
Epomidiostomum uncinatum,,Ducks & geese,1,1,None,2,3,2.5
Amidostomum acutum,,Ducks & geese,1,1,None,2,3,2.5
Amidostomum fulicae,,Coots,1,1,None,2,3,2.5
Libyostrongylus douglasi,,Ostrich,1,1,None,2,3,2
Obeliscoides cuniculi cuniculi,,"Rabbits, marmots",1,1,None,2,3,2
Obeliscoides cuniculi multistriatus,,Snowshoe hare,1,1,None,2,3,2
Cooperia curticei,,"Sheep, goats, deer, mouflon",1,1,None,2,3,2
Cooperia fuelleborni,,Antelopes,1,1,None,2,3,2
Cooperia pectinata,,Ruminants,1,1,None,2,3,2
Cooperia oncophora,,Ruminants,1,1,None,2,3,2
Cooperia punctata,,Ruminants,1,1,None,2,3,2
Teladorsagia circumcincta,,Ruminants,1,1,None,2,3,2
Graphidium strigosum,,Rabbits,1,1,None,2,3,2
Hyostrongylus rubidus,,Pigs,1,1,None,2,4,2.5
Ostergia ostertagi,,Cattle,1,1,None,2,3,2
Haemonchus contortus,,Ruminants,1,1,None,2,3,2
Haemonchus placei,,Cattle,1,1,None,2,3,2
Trichostrongylus tenuis,,Grouse & geese,1,1,None,2,3,2.5
Trichostrongylus sigmodontis,,"cotton rats, rice rats, nutia",1,1,None,2,3,2.5
Trichostrongylus skrjabini,,"Sheep, mouflon, roe deer",1,1,None,2,3,2
Trichostrongylus retortaeformis,,"Rabbits, hares",1,1,None,2,3,2
Trichostrongylus axei,,"Ruminants, horses",1,1,None,2,3,2
Trichostrongylus vitrinus,,"Ruminants, pigs, rabbits",1,1,None,2,4,2
Trichostrongylus colubriformis,,Ruminants,1,1,None,2,3,2
Trichostrongylus rugatus,,"Sheep, goats",1,1,None,2,3,2
Dictyocaulus arnfieldi,,"Equines, Indian tapir",1,1,None,2,3,2
Dictyocaulus filaria,,"Sheep, goats, antelope, deer ",1,1,None,2,3,2
Dictyocaulus eckerti,,Deer,1,1,None,2,3,2
Dictyocaulus viviparus,,"Cattle, deer",1,1,None,2,3,2
Troglostrongylus brevior,Terrestrial molluscs (first intermediate),Felines,2,2,None,3,4,3.5
Skrjabingylus chitwoodorum,Gastropods (first) Snakes & Frogs (paratenic),Skunks,3,2,Middle,2,4,3
Skrjabingylus lutrae,Snails (first intermediate),Otters,2,2,None,3,4,3.5
Skrjabingylus nasicola,"Gastropods (first) Rodents, shrews (paratenic)",Mustelidae,3,2,Middle,3,4,3.5
Skrjabingylus petrowi,Terrestrial snails (first intermediate),Martens,2,2,None,2,4,3.5
Otostrongylus circumlitus,Fish (first intermediate),Seals,2,2,None,3,5,3.916666667
Crenosoma petrowi,Terrestrial molluscs (first intermediate),Black Bear,2,2,None,2,5,2.5
Crenosoma vulpis,Terrestrial molluscs (first intermediate),Canids,2,2,None,2,4,3.5
Crenosoma striatum,Terrestrial molluscs (first intermediate),European Hedgehog,2,2,None,2,4,3
Crenosoma mephitidis,Terrestrial molluscs (first intermediate),Skunks,2,2,None,2,4,3
Oslerus rostratus,Gastropods (first) Mice (paratenic),Felines,3,2,Middle,3,4,3.5
Oslerus osleri,,"Wild canids, especially coyotes, foxes, dingos",1,1,None,2,4,3.5
Metastrongylus apri,Earthworms (first intermediate),Pigs,2,2,None,2,4,2.5
Metastrongylus pudendotectus,Earthworms (first intermediate),Pigs,2,2,None,2,4,2.5
Metastrongylus salmi,Earthworms (first intermediate),Pigs,2,2,None,2,4,2.5
Filaroides decorus,Fish (first intermediate),Sealion,2,2,None,3,5,4.1
Filaroides hirthi,,Beagle dogs,1,1,None,2,4,3.5
Filaroides martis,Molluscs (first intermediate),Mink,2,2,None,3,4,3.5
Trilobostrongylus bioccai,Molluscs (first intermediate),Martes pennanti,2,2,None,2,4,3.5
Andersonstrongylus captivensis,,Skunk Mephitis mephitis,1,1,None,2,4,3
Aelurostrongylus abstrusus,"Terrestrial molluscs (first) Amphibia, reptiles, birds, small rodents (paratenic)",Cats,3,2,Middle,3,4,3.5
Aelurostrongylus falciformis,Gastropods (first intermediate),Badgers,2,2,None,2,4,3
Aelurostrongylus pridhami,"Gastropods (first) Fish, frogs, birds, mice (paratenic)",Mink,3,2,Middle,3,4,3.5
Didelphostrongylus hayesi,Molluscs (first intermediate),Opossum,2,2,None,2,4,3
Angiostrongylus andersoni,Terrestrial molluscs (first intermediate),Rodents,2,2,None,2,3,2.5
Angiostrongylus dujardini,Aquatic snails (first intermediate),Rodents,2,2,None,2,3,2.5
Angiostrongylus mackerrasae,Terrestrial molluscs (first intermediate),Rodents,2,2,None,2,3,2.5
Angiostrongylus siamensis,Aquatic snails (first intermediate),Rats,2,2,None,2,3,2.5
Angiostrongylus cantonensis,"Molluscs (first) Crabs, frogs and toads, planaria, fish (paratenic host)","Rats, humans",3,2,Middle,2,5,2.5
Angiostrongylus malaysiensis,Terrestrial molluscs (first intermediate),Rodents,2,2,None,2,3,2.5
Angiostrongylus costaricensis,Slugs (first intermediate),Rodents,2,2,None,2,3,2.5
Angiostrongylus vasorum,Gastropods (first) Frogs (paratenic),"Dogs, foxes",3,2,Middle,2,4,3.5
Neostrongylus linearis,Terrestrial molluscs (first intermediate),"Sheep, goats, chamois",2,2,None,2,3,2
Pneumostrongylus calcaratus,Terrestrial molluscs (first intermediate),African antelopes,2,2,None,2,3,2
Varestrongylus alpenae,Terrestrial molluscs (first intermediate),Deer,2,2,None,2,3,2
Varestrongylus capreoli,Terrestrial molluscs (first intermediate),Deer,2,2,None,2,3,2
Varestrongylus pneumonicus,Terrestrial molluscs (first intermediate),"Sheep, goats",2,2,None,2,3,2
Varestrongylus sagittatus,Terrestrial molluscs (first intermediate),Deer,2,2,None,2,3,2
Elaphostrongylus alces,Terrestrial molluscs (first intermediate),Moose,2,2,None,2,3,2
Elaphostrongylus cervi,Terrestrial molluscs (first intermediate),Deer,2,2,None,2,3,2
Elaphostrongylus rangiferi,Terrestrial molluscs (first intermediate),"Reindeer, caribou",2,2,None,2,3,2
Parelaphostrongylus andersoni,Terrestrial molluscs (first intermediate),"Deer, caribou",2,2,None,2,3,2
Parelaphostrongylus odocoilei,Terrestrial molluscs (first intermediate),"Deer, goats, caribou",2,2,None,2,3,2
Parelaphostrongylus tenuis,Terrestrial molluscs (first intermediate),Deer,2,2,None,2,3,2
